No,Images,MIR,MIG,MIB,VHR,VHG,VHB,SER,SEG,SEB
1,01_Airplane_en.bmp,127.51,127.36,127.43,1082.97,983.16,1196.6,7.999254,7.999324,7.999177
2,02_Baboon_en.bmp,127.71,127.74,127.57,1092.69,783.3,992.8,7.999249,7.999461,7.999317
3,03_Lena_en.bmp,127.47,127.17,127.45,1172.59,952.26,909.52,7.999193,7.999346,7.999374
4,04_Peppers_en.bmp,127.47,127.69,127.55,1096.3,1065.44,853.76,7.999246,7.999267,7.999412
5,05_Sailboat_en.bmp,127.43,127.55,127.79,1128.75,1043.22,988.57,7.999223,7.999283,7.99932
6,06_Splash_en.bmp,127.65,127.49,127.47,1049.17,1169.26,1047.61,7.99928,7.999193,7.99928
