No,ORI Images,ENC Image,NPCR(R),NPCR(G),NPCR(B),UACI(R),UACI(G),UACI(B)
1,01_Airplane.bmp,01_Airplane_en.bmp,99.6006,99.5914,99.617,31.9911,33.1748,32.6935
2,02_Baboon.bmp,02_Baboon_en.bmp,99.6094,99.596,99.622,29.8975,28.6087,31.2974
3,03_Lena.bmp,03_Lena_en.bmp,99.6128,99.6071,99.6101,33.0071,30.5693,27.6358
4,04_Peppers.bmp,04_Peppers_en.bmp,99.6052,99.6258,99.6147,28.9328,33.9159,33.8125
5,05_Sailboat.bmp,05_Sailboat_en.bmp,99.6155,99.6189,99.6204,27.9896,34.3556,34.3998
6,06_Splash.bmp,06_Splash_en.bmp,99.6273,99.609,99.5945,34.1572,35.6771,31.858
